性质,院校名称,专业组,专业号,批次,招生专业,公共课（科目）[分值：100/100],专业基础课（科目）[分值：100],专业综合课（科目）[分值：200],专综类型,学费,教学地点,住宿费,前置要求
民办,广东科技学院,10,027,普通批,集成电路设计与集成系统,政治 / 英语,高等数学,电子技术基础,统考,34800,松山湖校区,2800,不限
民办,广东科技学院,11,028,普通批,软件工程,政治 / 英语,高等数学,计算机基础与程序设计,统考,34800,松山湖校区,2800,不限
民办,广东科技学院,11,029,普通批,网络工程,政治 / 英语,高等数学,计算机基础与程序设计,统考,34800,松山湖校区,2800,不限
民办,广东科技学院,11,030,普通批,物联网工程,政治 / 英语,高等数学,计算机基础与程序设计,统考,34800,松山湖校区,2800,不限
民办,广东科技学院,11,032,普通批,智能科学与技术,政治 / 英语,高等数学,计算机基础与程序设计,统考,34800,松山湖校区,2800,不限
民办,广东科技学院,11,033,普通批,数字媒体技术,政治 / 英语,高等数学,计算机基础与程序设计,统考,34800,松山湖校区,2800,不限
民办,广东科技学院,11,034,普通批,网络空间安全,政治 / 英语,高等数学,计算机基础与程序设计,统考,34800,松山湖校区,2800,不限
民办,广东科技学院,12,031,普通批,信息管理与信息系统,政治 / 英语,管理学,计算机基础与程序设计,统考,34800,松山湖校区,2800,不限
民办,广东科技学院,13,035,普通批,数据科学与大数据技术,政治 / 英语,高等数学,程序设计基础,校考,34800,松山湖校区,2800,不限
民办,广东科技学院,14,036,普通批,英语,政治 / 英语,大学语文,英语基础与写作,统考,34800,松山湖校区,2800,不限
民办,广东科技学院,14,037,普通批,商务英语,政治 / 英语,大学语文,英语基础与写作,统考,34800,松山湖校区,2800,不限
民办,广东科技学院,15,038,普通批,翻译,政治 / 英语,大学语文,英汉互译,校考,34800,松山湖校区,2800,不限
民办,广东科技学院,16,039,普通批,日语,政治,大学语文,"日语视听说【专业课：基础日语】",校考,34800,松山湖校区,2800,不限
民办,广东科技学院,17,040,普通批,服装设计与工程,政治 / 英语,高等数学,服装设计概论,校考,36800,松山湖校区,2800,不限
民办,广东科技学院,18,041,普通批,视觉传达设计,政治 / 英语,艺术概论,设计基础,统考,36800,松山湖校区,2800,不限
民办,广东科技学院,18,042,普通批,环境设计,政治 / 英语,艺术概论,设计基础,统考,36800,松山湖校区,2800,不限
民办,广东科技学院,18,043,普通批,产品设计,政治 / 英语,艺术概论,设计基础,统考,36800,松山湖校区,2800,不限
民办,广东科技学院,18,044,普通批,艺术与科技,政治 / 英语,艺术概论,设计基础,统考,36800,松山湖校区,2800,不限
民办,广东科技学院,19,045,普通批,数字媒体艺术,政治 / 英语,艺术概论,分镜头脚本绘制,校考,36800,松山湖校区,2800,不限
民办,广东科技学院,20,046,普通批,服装与服饰设计,政治 / 英语,艺术概论,服装设计基础,校考,36800,松山湖校区,2800,不限
民办,广州南方学院,1,1,普通批,工商管理,政治 / 英语,管理学,市场营销学,统考,32600,校本部,1900,不限
民办,广州南方学院,1,7,普通批,物流管理,政治 / 英语,管理学,市场营销学,统考,32600,校本部,1900,不限
民办,广州南方学院,1,28,普通批,文化产业管理,政治 / 英语,管理学,文化产业概论,校考,32600,校本部,1900,不限
民办,广州南方学院,2,3,普通批,电子商务,政治 / 英语,管理学,电子商务概论,统考,32600,校本部,1900,不限
民办,广州南方学院,3,4,普通批,金融学,政治 / 英语,经济学,金融学,统考,32600,校本部,1900,不限
民办,广州南方学院,3,6,普通批,经济学,政治 / 英语,经济学,金融学,统考,32600,校本部,1900,不限
民办,广州南方学院,4,5,普通批,国际经济与贸易,政治 / 英语,经济学,国际贸易理论与实务,统考,32600,校本部,1900,不限
民办,广州南方学院,5,8,普通批,会计学,政治 / 英语,管理学,基础会计学,统考,32600,校本部,1900,限招
民办,广州南方学院,5,9,普通批,财务管理,政治 / 英语,管理学,基础会计学,统考,32600,校本部,1900,限招
民办,广州南方学院,5,10,普通批,审计学,政治 / 英语,管理学,基础会计学,统考,32600,校本部,1900,限招
